Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
CDS-NADH_dehydrogenase_subunit_5,3,1821,0.2197%,100.0000%,1.00000000,0.26761852,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.6258%
CDS-NADH_dehydrogenase_subunit_6,3,525,0.0000%,100.0000%,1.00000000,0.19238095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.2222%
CDS-ND1,313,972,1.6592%,99.6805%,0.99922922,0.24044485,0.09098148,0.02879214,0.00007109,0.06218934,0.00012796,99.0415%,39.0813%
CDS-ND2,313,1056,1.6431%,99.6805%,0.99922922,0.32897048,0.11175490,0.03679439,0.00009785,0.07496051,0.00017506,99.0415%,35.7910%
CDS-ND3,313,352,1.3233%,99.6805%,0.99922922,0.28915518,0.10772763,0.03658456,0.00008968,0.07114307,0.00015703,99.0415%,36.6135%
CDS-ND4,313,1379,0.0890%,99.6805%,0.99922922,0.27773981,0.10435371,0.03290482,0.00007854,0.07144889,0.00014985,99.0415%,36.5440%
CDS-ND4L,313,297,0.0065%,98.7220%,0.99691688,0.29672652,0.10338841,0.03494705,0.00008953,0.06844137,0.00016713,98.7220%,36.8071%
CDS-ND5,313,1888,3.6388%,99.6805%,0.99922922,0.28711348,0.10670160,0.03456990,0.00008358,0.07213169,0.00016055,99.0415%,37.1462%
CDS-ND6,312,551,4.8694%,99.3590%,0.99845264,0.30478478,0.09892602,0.03382535,0.00011461,0.06510066,0.00017109,99.0385%,36.2249%
gene-ATP6,313,684,0.4573%,99.3610%,0.99845844,0.23485539,0.09005018,0.02903531,0.00007574,0.06101487,0.00013008,99.0415%,37.6460%
gene-ATP8,313,213,4.8058%,98.7220%,0.99691688,0.28793281,0.09490862,0.03253361,0.00010379,0.06237501,0.00017686,96.1661%,32.8921%
gene-COX1,313,1557,0.8243%,99.6805%,0.99922922,0.18827224,0.07784513,0.02448581,0.00005368,0.05335932,0.00010327,99.0415%,39.8069%
gene-COX2,313,714,4.1887%,98.7220%,0.99691688,0.19380572,0.08052617,0.02556265,0.00005873,0.05496351,0.00010940,99.0415%,37.8960%
gene-COX3,313,787,0.3702%,99.0415%,0.99768766,0.20742884,0.08238893,0.02670533,0.00006166,0.05568360,0.00011436,99.0415%,40.9221%
gene-CYTB,313,1147,0.4482%,99.6805%,0.99922922,0.22304143,0.08869432,0.02677736,0.00005995,0.06191695,0.00011637,99.0415%,40.3108%
gene-D1A36_mgr01,2,1559,0.0321%,100.0000%,1.00000000,0.00513149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.5204%
gene-D1A36_mgr02,2,945,0.0000%,100.0000%,1.00000000,0.00317460,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.8307%
gene-D1A36_mgt01,2,66,0.0000%,100.0000%,1.00000000,0.01515152,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.0909%
gene-D1A36_mgt02,2,68,0.0000%,100.0000%,1.00000000,0.01470588,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.4412%
gene-D1A36_mgt03,2,75,0.0000%,100.0000%,1.00000000,0.01333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.3333%
gene-D1A36_mgt04,2,68,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.4118%
gene-D1A36_mgt05,2,71,0.0000%,100.0000%,1.00000000,0.01408451,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.7324%
gene-D1A36_mgt06,2,69,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,46.3768%
gene-D1A36_mgt07,2,68,0.0000%,100.0000%,1.00000000,0.02941176,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.1471%
gene-D1A36_mgt08,2,70,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.0000%
gene-D1A36_mgt09,2,73,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.7260%
gene-D1A36_mgt10,2,67,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,41.7910%
gene-D1A36_mgt11,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.1429%
gene-D1A36_mgt12,2,69,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.4783%
gene-D1A36_mgt13,2,69,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,20.2899%
gene-D1A36_mgt14,2,65,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.7692%
gene-D1A36_mgt15,2,69,0.0000%,100.0000%,1.00000000,0.01449275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6087%
gene-D1A36_mgt16,2,69,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,21.7391%
gene-D1A36_mgt17,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,23.5714%
gene-D1A36_mgt18,2,57,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.8421%
gene-D1A36_mgt19,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.5714%
gene-D1A36_mgt20,2,69,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,31.8841%
gene-D1A36_mgt21,2,67,0.0000%,100.0000%,1.00000000,0.01492537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.0597%
gene-D1A36_mgt22,2,67,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.8507%
gene-mt_Rnr1,3,961,0.5897%,100.0000%,1.00000000,0.06798474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.4969%
gene-mt_Rnr2,3,1596,1.1069%,100.0000%,1.00000000,0.12656642,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.6283%
gene-ND1,313,972,1.6592%,99.6805%,0.99922922,0.24044485,0.09079661,0.02876570,0.00007125,0.06203091,0.00012944,99.0415%,39.0813%
gene-ND2,313,1056,1.6431%,99.6805%,0.99922922,0.32897048,0.11182619,0.03695285,0.00009800,0.07487334,0.00017552,99.0415%,35.7910%
gene-ND3,313,352,1.3224%,99.6805%,0.99922922,0.28914145,0.10748639,0.03632472,0.00008671,0.07116167,0.00015747,99.0415%,36.6132%
gene-ND4,313,1379,0.0890%,99.6805%,0.99922922,0.27773954,0.10436123,0.03285215,0.00007849,0.07150908,0.00015036,99.0415%,36.5440%
gene-ND4L,313,297,0.0065%,98.7220%,0.99691688,0.29672652,0.10323333,0.03487669,0.00008591,0.06835663,0.00016669,98.0831%,36.8071%
gene-ND5,313,1888,3.6388%,99.6805%,0.99922922,0.28711348,0.10665882,0.03459794,0.00008240,0.07206088,0.00016048,99.0415%,37.1462%
gene-ND6,312,551,4.8694%,99.3590%,0.99845264,0.30478478,0.09892606,0.03382540,0.00011462,0.06510066,0.00017109,99.0385%,36.2249%
gene-RNR1,4,965,1.2176%,100.0000%,1.00000000,0.09982729,0.04158791,0.02498492,0.00000000,0.01660300,0.00061573,25.0000%,37.3721%
gene-RNR2,4,1590,1.9497%,100.0000%,1.00000000,0.15471698,0.06682270,0.04268404,0.00000000,0.02413865,0.00110795,25.0000%,36.0006%
gene-rrnL,8,1592,2.8894%,100.0000%,1.00000000,0.17338927,0.07547100,0.02866714,0.00346860,0.04680385,0.00595440,62.5000%,38.0983%
gene-rrnS,8,976,2.8689%,100.0000%,1.00000000,0.16162910,0.07085998,0.03232218,0.00517823,0.03853780,0.00724783,62.5000%,40.0976%
gene-trnA,21,69,0.0000%,100.0000%,1.00000000,0.14133885,0.05779112,0.02609629,0.00172809,0.03169483,0.00207231,80.9524%,33.4714%
gene-trnA_tgc_,8,72,3.6458%,100.0000%,1.00000000,0.19940476,0.11320639,0.02831129,0.00152618,0.08489510,0.00688594,62.5000%,34.2342%
gene-trnA_ugc,2,69,0.0000%,100.0000%,1.00000000,0.04347826,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6087%
gene-trnC,21,70,3.9456%,100.0000%,1.00000000,0.26863946,0.07578965,0.04752874,0.00243693,0.02826090,0.00174517,85.7143%,41.7139%
gene-trnC_gca,2,66,0.0000%,100.0000%,1.00000000,0.01515152,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.2424%
gene-trnC_gca_,9,71,5.0078%,88.8889%,0.92989669,0.23669797,0.09773347,0.05549734,0.00814281,0.04223613,0.00408041,66.6667%,41.1862%
gene-trnD,21,70,2.4490%,90.4762%,0.94845017,0.16061224,0.06457695,0.02101210,0.00137948,0.04356485,0.00327832,66.6667%,23.0823%
gene-trnD_gtc_,8,71,4.0493%,100.0000%,1.00000000,0.19466801,0.08450428,0.03990829,0.00327719,0.04459599,0.00278716,62.5000%,22.5688%
gene-trnD_guc,2,69,0.0000%,100.0000%,1.00000000,0.08695652,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,17.3913%
gene-trnE,21,69,0.5521%,90.4762%,0.95663424,0.15693582,0.04061297,0.02234519,0.00094229,0.01826778,0.00136867,71.4286%,32.5468%
gene-trnE_ttc_,8,69,0.1812%,100.0000%,1.00000000,0.16511387,0.08521698,0.02391993,0.00202451,0.06129705,0.00453853,62.5000%,31.0345%
gene-trnE_uuc,2,69,0.0000%,100.0000%,1.00000000,0.01449275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.2609%
gene-trnF,21,75,8.7619%,95.2381%,0.97831712,0.16152381,0.05106462,0.02282113,0.00085896,0.02824349,0.00151174,76.1905%,34.6555%
gene-trnF_gaa,2,67,0.0000%,100.0000%,1.00000000,0.08955224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.8209%
gene-trnF_gaa_,9,72,6.9444%,100.0000%,1.00000000,0.14004630,0.06177345,0.02127941,0.00124930,0.04049404,0.00538768,66.6667%,32.5041%
gene-trnG,21,72,4.5635%,100.0000%,1.00000000,0.22248677,0.07812490,0.04190125,0.00136581,0.03622365,0.00186883,76.1905%,34.0956%
gene-trnG_tcc_,8,70,1.9643%,100.0000%,1.00000000,0.27295918,0.17265184,0.04421754,0.00294924,0.12843430,0.01061396,62.5000%,32.6047%
gene-trnG_ucc,2,69,0.0000%,100.0000%,1.00000000,0.02898551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.4348%
gene-trnH,21,70,2.8571%,100.0000%,1.00000000,0.19469388,0.07339598,0.03533263,0.00216815,0.03806334,0.00202715,71.4286%,28.7115%
gene-trnH_gtg_,8,70,1.7857%,100.0000%,1.00000000,0.24336735,0.13604713,0.05033119,0.00641946,0.08571594,0.00955535,62.5000%,26.1818%
gene-trnH_gug,2,67,0.7463%,100.0000%,1.00000000,0.07462687,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,23.3083%
gene-trnI,22,69,0.1976%,95.4545%,0.97961420,0.06662902,0.02706686,0.00947008,0.00023989,0.01759678,0.00078719,59.0909%,27.5248%
gene-trnI_gat_,7,69,1.0352%,100.0000%,1.00000000,0.08281573,0.03493599,0.01273191,0.00151519,0.02220407,0.00359037,42.8571%,27.8243%
gene-trnI_gau,2,69,0.0000%,100.0000%,1.00000000,0.05797101,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.9855%
gene-trnK,21,82,19.8026%,100.0000%,1.00000000,0.21579559,0.10095001,0.05075613,0.00192140,0.05019388,0.00233767,80.9524%,35.8798%
gene-trnK_ttt_,8,69,3.9855%,100.0000%,1.00000000,0.28002070,0.15946458,0.05832033,0.00719244,0.10114425,0.00567207,62.5000%,33.0189%
gene-trnL,3,75,0.4444%,100.0000%,1.00000000,0.13777778,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.7500%
gene-trnL1,13,77,5.3946%,92.3077%,0.95842490,0.35880786,0.29226186,0.28081804,0.09595307,0.01144382,0.00124854,53.8462%,41.4995%
gene-trnL1_tag_,8,72,2.4306%,100.0000%,1.00000000,0.09027778,0.04133031,0.00942736,0.00079777,0.03190294,0.00367846,50.0000%,33.4520%
gene-trnL2,14,95,23.3835%,71.4286%,0.83575235,0.40080972,0.08562403,0.06644918,0.01964047,0.01917485,0.00351431,50.0000%,37.8803%
gene-trnL2_taa_,7,76,1.5038%,100.0000%,1.00000000,0.16791980,0.08873520,0.03763261,0.00419402,0.05110259,0.00678924,57.1429%,40.4580%
gene-trnL_CUN_,6,70,0.0000%,83.3333%,0.87104906,0.03619048,0.01723281,0.00242750,0.00000000,0.01480531,0.00287409,16.6667%,33.0952%
gene-trnL_uaa,2,75,0.0000%,100.0000%,1.00000000,0.02666667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.0000%
gene-trnL_uag,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.1429%
gene-trnL_UUR_,6,76,0.8772%,100.0000%,1.00000000,0.08070175,0.03973029,0.01534085,0.00247237,0.02438944,0.00354741,50.0000%,39.3805%
gene-trnM,21,70,1.6327%,85.7143%,0.92676729,0.06040816,0.01838480,0.00608042,0.00045799,0.01230438,0.00069894,42.8571%,44.8824%
gene-trnM_cat_,8,70,1.4286%,100.0000%,1.00000000,0.05102041,0.01856389,0.00744560,0.00091357,0.01111829,0.00123395,37.5000%,44.5652%
gene-trnM_cau,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,46.4286%
gene-trnN,21,74,3.6036%,90.4762%,0.94845017,0.15437580,0.04518485,0.02222861,0.00081586,0.02295624,0.00152574,66.6667%,36.2483%
gene-trnN_gtt_,8,74,2.7027%,100.0000%,1.00000000,0.19980695,0.10750845,0.04589132,0.00464427,0.06161713,0.00831860,62.5000%,36.9792%
gene-trnN_guu,2,73,0.0000%,100.0000%,1.00000000,0.01369863,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,42.4658%
gene-trnP,21,73,8.1539%,100.0000%,1.00000000,0.19791259,0.07358862,0.04369616,0.00195295,0.02989246,0.00133169,80.9524%,40.8381%
gene-trnP_tgg_,8,70,3.0357%,100.0000%,1.00000000,0.34642857,0.21588201,0.11418955,0.01009813,0.10169246,0.00784348,62.5000%,41.9890%
gene-trnP_ugg,2,65,0.0000%,100.0000%,1.00000000,0.07692308,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.2308%
gene-trnQ,21,76,5.5138%,95.2381%,0.97831712,0.19385965,0.06996087,0.03915545,0.00218547,0.03080541,0.00230178,80.9524%,38.7931%
gene-trnQ_ttg_,8,73,2.0548%,100.0000%,1.00000000,0.21037182,0.12132151,0.03804603,0.00423179,0.08327548,0.00495440,62.5000%,37.9371%
gene-trnQ_uug,2,71,0.0000%,100.0000%,1.00000000,0.02816901,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.0282%
gene-trnR,21,71,4.5607%,95.2381%,0.97831712,0.14708249,0.05291596,0.02953036,0.00164053,0.02338560,0.00149912,76.1905%,25.0878%
gene-trnR_tcg_,8,73,6.5068%,100.0000%,1.00000000,0.19373777,0.09347415,0.02140576,0.00115405,0.07206839,0.00574849,62.5000%,22.3443%
gene-trnR_ucg,2,70,0.7143%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,27.3381%
gene-trnS,3,69,0.9662%,100.0000%,1.00000000,0.13043478,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.9024%
gene-trnS1,13,71,8.0173%,92.3077%,0.95842490,0.32990249,0.09867883,0.07654721,0.02046292,0.02213162,0.00287048,53.8462%,41.6961%
gene-trnS1_gct_,8,64,6.4453%,100.0000%,1.00000000,0.31082589,0.22034931,0.06513519,0.00480625,0.15521411,0.01815883,62.5000%,38.2046%
gene-trnS2,13,71,11.3759%,84.6154%,0.91684980,0.31455399,0.08115565,0.06050506,0.01267825,0.02065058,0.00264954,69.2308%,39.2421%
gene-trnS2_tga_,8,70,1.4286%,100.0000%,1.00000000,0.16275510,0.07387006,0.03293804,0.00423719,0.04093202,0.00323904,62.5000%,40.2174%
gene-trnS_AGY_,6,61,2.1858%,100.0000%,1.00000000,0.12131148,0.05460631,0.01230615,0.00173609,0.04230016,0.00505126,50.0000%,34.3575%
gene-trnS_gcu,2,60,0.0000%,100.0000%,1.00000000,0.03333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.0000%
gene-trnS_UCN_,6,69,0.0000%,100.0000%,1.00000000,0.05507246,0.02742264,0.00488534,0.00000920,0.02253729,0.00239134,33.3333%,42.9952%
gene-trnS_uga,2,69,0.0000%,100.0000%,1.00000000,0.01449275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.4058%
gene-trnT,21,70,3.6054%,100.0000%,1.00000000,0.23775510,0.09727173,0.05037511,0.00232757,0.04689661,0.00197446,80.9524%,35.7092%
gene-trnT_tgt_,8,77,10.7143%,100.0000%,1.00000000,0.32096475,0.20501252,0.06415829,0.00407031,0.14085423,0.00956194,62.5000%,37.9091%
gene-trnT_ugu,2,68,0.7353%,100.0000%,1.00000000,0.08823529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.7778%
gene-trnV,21,76,10.4637%,95.2381%,0.97831712,0.20908521,0.07378038,0.03083174,0.00131368,0.04294863,0.00204867,76.1905%,43.3170%
gene-trnV_tac_,8,74,7.0946%,100.0000%,1.00000000,0.28861004,0.17466915,0.07329259,0.00275591,0.10137656,0.00638305,62.5000%,40.5455%
gene-trnV_uac,2,66,0.0000%,100.0000%,1.00000000,0.04545455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.9091%
gene-trnW,21,71,5.9021%,95.2381%,0.97831712,0.17927565,0.05410388,0.03247902,0.00219577,0.02162486,0.00166506,80.9524%,37.9900%
gene-trnW_tca_,8,70,4.4643%,100.0000%,1.00000000,0.27295918,0.13529822,0.04981135,0.00878367,0.08548687,0.00631787,62.5000%,38.3178%
gene-trnW_uca,2,69,0.0000%,100.0000%,1.00000000,0.02898551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.7826%
gene-trnY,21,73,8.4149%,95.2381%,0.97831712,0.14938030,0.04878557,0.01754784,0.00083161,0.03123774,0.00193238,61.9048%,39.2450%
gene-trnY_gta_,8,72,7.4653%,100.0000%,1.00000000,0.13988095,0.05289340,0.01517439,0.00155306,0.03771901,0.00468835,62.5000%,38.6492%
gene-trnY_gua,2,67,0.7463%,100.0000%,1.00000000,0.05970149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.3383%
misc_feature-control_region,6,1584,26.9465%,100.0000%,1.00000000,0.52264310,0.32103245,0.06448321,0.00603457,0.25654924,0.01139817,50.0000%,38.3840%
rRNA-12S_ribosomal_RNA,246,1189,19.7683%,99.5935%,0.99897638,0.18937300,0.04771937,0.01690389,0.00006334,0.03081547,0.00010748,98.3740%,38.5668%
rRNA-16S_ribosomal_RNA,246,2261,30.7462%,99.5935%,0.99897638,0.18624709,0.06296151,0.02118210,0.00006658,0.04177941,0.00011898,98.7805%,36.1796%
rRNA-l_rRNA,54,1681,6.6946%,100.0000%,1.00000000,0.18865347,0.07058428,0.02725021,0.00042817,0.04333406,0.00082321,94.4444%,36.8832%
rRNA-mt_Rnr1,3,961,0.5897%,100.0000%,1.00000000,0.06798474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.4969%
rRNA-mt_Rnr2,3,1596,1.1069%,100.0000%,1.00000000,0.12656642,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.6283%
rRNA-RNR1,4,965,1.2176%,100.0000%,1.00000000,0.09982729,0.04158791,0.02498492,0.00000000,0.01660300,0.00061573,25.0000%,37.3721%
rRNA-RNR2,4,1590,1.9497%,100.0000%,1.00000000,0.15471698,0.06682270,0.04268404,0.00000000,0.02413865,0.00110795,25.0000%,36.0006%
rRNA-rrnL,8,1592,2.8894%,100.0000%,1.00000000,0.17338927,0.07547100,0.02866714,0.00346860,0.04680385,0.00595440,62.5000%,38.0983%
rRNA-rrnS,8,976,2.8689%,100.0000%,1.00000000,0.16162910,0.07085998,0.03232218,0.00517823,0.03853780,0.00724783,62.5000%,40.0976%
rRNA-s_rRNA,54,1028,6.9769%,98.1481%,0.99356425,0.16270628,0.05262678,0.02151514,0.00040711,0.03111164,0.00072223,94.4444%,38.5329%
spacer-ATP6-COX3,7,2,7.1429%,28.5714%,0.21075810,0.14285714,0.00000043,0.00000014,0.00000006,0.00000029,0.00000006,14.2857%,0.0000%
spacer-COX1-COX2,61,169,16.9076%,96.7213%,0.98894340,0.14368351,0.04577975,0.01775382,0.00027533,0.02802593,0.00049654,83.6066%,31.4266%
spacer-COX1-D1A36_mgt12,2,3,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.3333%
spacer-COX1-trnS2_tga_,3,3,11.1111%,100.0000%,1.00000000,0.55555556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.5000%
spacer-COX1-trnS_UCN_,4,4,12.5000%,100.0000%,1.00000000,0.54166667,0.38913843,0.00000000,nan,0.38913843,0.12171367,0.0000%,35.7143%
spacer-COX2-ATP8,62,78,11.5798%,95.1613%,0.98374689,0.21455884,0.06654996,0.03247048,0.00065658,0.03407947,0.00064890,75.8065%,33.7231%
spacer-COX2-D1A36_mgt14,2,2,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,100.0000%
spacer-COX2-trnK,21,83,82.5014%,71.4286%,0.86171865,0.28680436,0.20289277,0.17399868,0.02318268,0.02889409,0.00615281,42.8571%,31.1475%
spacer-COX2-trnK_ttt_,8,3,12.5000%,87.5000%,0.91666667,0.67857143,3.64802823,1.70818087,0.47462817,1.93984736,0.44272044,62.5000%,23.8095%
spacer-COX3-ND3,62,74,7.3670%,95.1613%,0.98374689,0.23491789,0.08318508,0.03114194,0.00054176,0.05204314,0.00106253,83.8710%,32.9412%
spacer-CYTB-trnT,7,2,21.4286%,42.8571%,0.49113259,0.42857143,1.18425731,0.00000014,0.00000007,1.18425717,0.41440351,14.2857%,9.0909%
spacer-CYTB-trnT_tgt_,2,4,25.0000%,100.0000%,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.3333%
spacer-D1A36_mgt01-D1A36_mgr02,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,100.0000%
spacer-D1A36_mgt03-ND1,2,3,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.3333%
spacer-D1A36_mgt05-D1A36_mgt06,2,2,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-D1A36_mgt07-D1A36_mgt08,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,100.0000%
spacer-D1A36_mgt09-D1A36_mgt10,2,36,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,58.3333%
